City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Yerbogachen,RU,61.2767,108.0108,8.4,97,100,4.38,overcast clouds
322,Areosa,PT,41.7178,-8.8571,56.25,75,0,10.94,clear sky
323,Tobermory,CA,45.2501,-81.6665,15.31,65,23,4.68,few clouds
324,Ponta Do Sol,PT,32.6667,-17.1,70.12,41,0,10.65,clear sky
325,Paamiut,GL,61.994,-49.6678,-0.87,85,73,7.61,broken clouds
326,Tucupita,VE,9.0622,-62.051,92.93,37,31,7.76,scattered clouds
327,Khudumelapye,BW,-23.8833,24.75,74.16,58,100,8.55,overcast clouds
328,Salantai,LT,56.0667,21.5667,38.7,89,75,15.14,broken clouds
329,Muros,ES,42.7762,-9.0603,50.85,73,0,14.65,clear sky
330,Phan Thiet,VN,10.9333,108.1,72.1,72,91,8.32,overcast clouds
331,Kibala,TD,9.1104,18.3463,84.15,20,0,0.0,clear sky
332,Segezha,RU,63.7415,34.3222,16.54,90,100,17.16,light snow
333,Iskateley,RU,67.6803,53.1512,-6.21,98,85,9.95,overcast clouds
334,Alamosa,US,37.4695,-105.87,38.66,78,0,3.44,clear sky
335,Aromashevo,RU,56.8602,68.6375,15.08,85,100,7.02,overcast clouds
336,Marsa Matruh,EG,31.3525,27.2453,53.8,76,75,6.91,broken clouds
337,Kanadey,RU,53.1679,47.5264,26.46,97,100,3.67,overcast clouds
338,Rabo De Peixe,PT,37.8,-25.5833,62.28,81,20,14.97,few clouds
339,Shelburne,CA,44.0787,-80.2041,17.13,67,36,4.79,scattered clouds
340,Abu Dhabi,AE,24.4667,54.3667,71.71,80,75,1.01,broken clouds
341,Pisco,PE,-13.7,-76.2167,71.02,83,75,9.22,mist
342,Kavieng,PG,-2.5744,150.7967,81.19,78,30,5.19,scattered clouds
343,Nishihara,JP,26.1842,127.7558,56.48,62,75,19.57,broken clouds
344,Kimbe,PG,-5.5502,150.1429,77.63,87,100,3.24,overcast clouds
345,Luderitz,NA,-26.6481,15.1594,68.77,76,96,4.99,overcast clouds
346,Krasnoselkup,RU,65.7,82.4667,-12.28,100,87,6.49,overcast clouds
