City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,San Rafael Del Sur,NI,2022-02-02 06:33:13,11.8485,-86.4384,74.37,79,0,8.3
138,Longyan,CN,2022-02-02 06:33:05,25.1072,117.0225,53.83,98,100,1.81
139,Omsukchan,RU,2022-02-02 06:33:13,62.5333,155.8,-16.24,99,47,4.29
140,Montceau-Les-Mines,FR,2022-02-02 06:34:14,46.6667,4.3667,45.52,99,100,5.37
141,Nouadhibou,MR,2022-02-02 06:34:14,20.931,-17.0347,70.14,51,100,12.33
142,Bairiki,KI,2022-02-02 06:34:14,1.3292,172.9752,84.2,79,75,4.61
143,Kirando,TZ,2022-02-02 06:34:15,-7.4167,30.6,74.05,79,100,1.95
144,East London,ZA,2022-02-02 06:34:15,-33.0153,27.9116,86.94,58,0,2.3
145,Carnarvon,AU,2022-02-02 06:34:15,-24.8667,113.6333,86.07,66,100,16.11
146,Salalah,OM,2022-02-02 06:34:16,17.0151,54.0924,78.89,53,0,1.14
147,Makakilo City,US,2022-02-02 06:30:51,21.3469,-158.0858,72.68,69,0,3.44
148,Bluff,NZ,2022-02-02 06:34:17,-46.6,168.3333,71.8,89,98,12.1
149,Tilichiki,RU,2022-02-02 06:34:17,60.4667,166.1,12.97,92,100,9.51
150,Dunhua,CN,2022-02-02 06:34:17,43.3725,128.2425,10.27,76,100,13.49
151,Lima,PE,2022-02-02 06:30:53,-12.0432,-77.0282,68.4,67,0,10.36
152,Dalianwan,CN,2022-02-02 06:34:18,39.0286,121.695,30.24,31,0,11.18
153,Dawlatabad,AF,2022-02-02 06:34:18,36.4141,64.9053,46.36,80,100,14.07
154,Marzuq,YE,2022-02-02 06:33:02,14.4,46.4667,73.35,41,100,6.78
155,Todos Santos,MX,2022-02-02 06:34:18,23.45,-110.2167,67.01,73,0,5.91
156,Awbari,LY,2022-02-02 06:34:19,26.5921,12.7805,43.3,53,0,7.07
157,Bokoro,TD,2022-02-02 06:34:19,12.3807,17.0568,64.2,15,0,9.13
158,Kavieng,PG,2022-02-02 06:34:20,-2.5744,150.7967,82.8,71,95,8.52
159,Woodward,US,2022-02-02 06:33:22,36.4337,-99.3904,29.43,95,100,21.85
160,Kearney,US,2022-02-02 06:34:20,40.6995,-99.0815,19.96,44,100,11.99
161,Maceio,BR,2022-02-02 06:29:39,-9.6658,-35.7353,76.44,88,20,4.61
162,Mountain Home,US,2022-02-02 06:34:21,43.133,-115.6912,27.34,93,100,4.61
163,Caucaia,BR,2022-02-02 06:34:21,-3.7361,-38.6531,80.55,83,40,5.75
164,Stornoway,GB,2022-02-02 06:34:21,58.2093,-6.3865,46.36,89,75,4.0
165,Baghdad,IQ,2022-02-02 06:33:06,33.3406,44.4009,46.31,100,20,4.61
166,Channel-Port Aux Basques,CA,2022-02-02 06:30:08,47.5702,-59.1367,14.63,78,21,3.38
167,Nigran,ES,2022-02-02 06:34:22,42.1415,-8.8066,48.97,76,0,6.91
168,Exmouth,GB,2022-02-02 06:34:22,50.6172,-3.4023,49.82,91,49,11.56
169,Lavrentiya,RU,2022-02-02 06:34:23,65.5833,-171.0,-1.82,85,1,14.83
170,Saskylakh,RU,2022-02-02 06:34:23,71.9167,114.0833,-28.39,100,48,2.33
171,Ranong,TH,2022-02-02 06:34:23,9.9658,98.6348,91.33,53,10,2.98
172,Novonikolayevskiy,RU,2022-02-02 06:34:24,50.9738,42.3649,32.79,96,100,9.13
173,Posadas,AR,2022-02-02 06:31:23,-27.3671,-55.8961,80.58,47,0,5.75
174,Ahipara,NZ,2022-02-02 06:34:24,-35.1667,173.1667,70.52,84,100,12.75
175,Kampong Cham,KH,2022-02-02 06:34:24,11.9934,105.4635,92.55,44,82,2.68
176,Shetpe,KZ,2022-02-02 06:34:25,44.1667,52.1167,40.69,71,12,4.83
177,Kurilsk,RU,2022-02-02 06:34:25,45.2333,147.8833,23.23,85,99,21.16
178,Mazatlan,MX,2022-02-02 06:34:25,23.2167,-106.4167,65.01,72,0,0.0
179,Rio Gallegos,AR,2022-02-02 06:31:03,-51.6226,-69.2181,50.05,57,0,16.11
180,Hithadhoo,MV,2022-02-02 06:34:26,-0.6,73.0833,82.87,70,6,9.62
181,Northam,GB,2022-02-02 06:34:26,51.0333,-4.2167,49.6,84,93,13.06
182,Roma,US,2022-02-02 06:34:26,43.2128,-75.4557,31.86,73,0,10.36
183,Lucea,JM,2022-02-02 06:34:27,18.451,-78.1736,73.26,77,3,5.95
184,Ulaangom,MN,2022-02-02 06:35:27,49.9811,92.0667,-13.94,89,90,2.55
185,Sovetskiy,RU,2022-02-02 06:35:28,61.3614,63.5842,20.34,95,100,7.49
186,Vao,NC,2022-02-02 06:35:28,-22.6667,167.4833,77.88,88,52,14.18
187,Piedade,BR,2022-02-02 06:35:28,-23.7119,-47.4278,69.49,98,100,2.66
188,Waipawa,NZ,2022-02-02 06:35:29,-41.4122,175.5153,70.43,59,100,6.13
189,Sao Felix Do Xingu,BR,2022-02-02 06:35:29,-6.6447,-51.995,69.69,99,100,0.22
190,Banjar,ID,2022-02-02 06:35:29,-8.19,114.9675,87.66,69,100,4.0
191,Mago,RU,2022-02-02 06:35:30,53.2514,140.1822,0.82,80,78,7.4
192,Udachnyy,RU,2022-02-02 06:35:30,66.4167,112.4,-27.74,100,38,2.15
193,Port Lincoln,AU,2022-02-02 06:35:30,-34.7333,135.8667,64.85,56,16,19.93
194,Armidale,AU,2022-02-02 06:35:31,-30.5167,151.65,65.44,97,100,2.13
195,Narsaq,GL,2022-02-02 06:35:31,60.9167,-46.05,8.82,78,5,5.37
196,Weatherford,US,2022-02-02 06:35:31,32.7593,-97.7972,57.74,86,100,7.38
197,Boguchany,RU,2022-02-02 06:35:32,58.3814,97.4531,11.43,91,95,2.86
198,Aripuana,BR,2022-02-02 06:35:32,-9.1667,-60.6333,71.2,99,100,1.61
199,Puerto Ayora,EC,2022-02-02 06:31:17,-0.7393,-90.3518,73.54,96,79,5.14
200,Vrangel,RU,2022-02-02 06:35:33,42.7297,133.0839,22.75,44,1,14.72
201,Kushima,JP,2022-02-02 06:35:33,31.4583,131.2333,50.04,60,100,6.42
202,Komsomolskiy,UZ,2022-02-02 06:35:33,40.4272,71.7189,38.12,52,100,0.0
203,Kushiro,JP,2022-02-02 06:35:34,42.975,144.3747,31.15,59,75,10.36
204,Russkiy,RU,2022-02-02 06:35:34,43.0147,131.8642,21.06,61,90,5.01
205,Khatanga,RU,2022-02-02 06:35:34,71.9667,102.5,-38.18,98,67,2.53
206,Daru,PG,2022-02-02 06:35:35,-9.0763,143.2092,75.43,89,100,12.37
207,Eureka,US,2022-02-02 06:35:35,40.8021,-124.1637,47.01,78,0,7.0
208,Dunmore East,IE,2022-02-02 06:35:35,52.1514,-6.9861,50.32,72,75,9.06
209,Moree,AU,2022-02-02 06:35:36,-29.4667,149.85,78.82,78,100,8.05
210,Manta,EC,2022-02-02 06:35:36,-0.95,-80.7333,74.98,94,100,6.91
211,Terrace,CA,2022-02-02 06:35:15,54.5163,-128.6035,28.42,58,100,11.5
212,Hasaki,JP,2022-02-02 06:35:36,35.7333,140.8333,52.29,27,41,16.62
213,Kroya,ID,2022-02-02 06:35:37,-7.6331,109.2461,86.27,65,65,6.55
214,Flinders,AU,2022-02-02 06:35:37,-34.5833,150.8552,68.18,78,100,10.0
215,Ponta Delgada,PT,2022-02-02 06:35:38,37.7333,-25.6667,56.5,82,20,8.05
216,Paracatu,BR,2022-02-02 06:35:38,-17.2222,-46.8747,67.69,91,100,1.14
217,Aklavik,CA,2022-02-02 06:35:38,68.2191,-135.0107,-19.37,99,100,4.32
218,Dalbandin,PK,2022-02-02 06:35:39,28.8947,64.4101,67.62,21,3,22.03
219,Dunedin,NZ,2022-02-02 06:30:43,-45.8742,170.5036,71.8,75,100,5.01
220,Umm Lajj,SA,2022-02-02 06:35:39,25.0213,37.2685,71.06,23,0,3.27
221,Palauig,PH,2022-02-02 06:35:39,15.435,119.9045,83.07,63,42,5.44
222,Saint George,US,2022-02-02 06:34:12,37.1041,-113.5841,38.62,29,0,1.99
223,Ribeira Grande,PT,2022-02-02 06:34:34,38.5167,-28.7,59.38,74,12,10.4
224,Saint Andrews,US,2022-02-02 06:35:40,34.0454,-81.1293,40.21,80,0,0.0
225,Atascadero,US,2022-02-02 06:35:40,35.4894,-120.6707,51.35,61,0,3.0
226,Ambulu,ID,2022-02-02 06:35:41,-8.345,113.6058,85.8,68,48,8.12
227,Jamame,SO,2022-02-02 06:36:41,0.0722,42.7506,87.73,55,100,14.74
228,Ilo,PE,2022-02-02 06:36:41,-17.6394,-71.3375,69.15,82,65,6.35
229,Havelock,US,2022-02-02 06:36:42,34.8791,-76.9013,38.95,92,2,1.01
230,Ajra,IN,2022-02-02 06:36:42,16.1167,74.2,85.21,17,0,1.34
